rest_name,rest_address,time_open,price,avg_score,quality_score,price_score,service_score,space_score,location_score,link
Texas Chicken - Phan Xích Long,"274 - 276 Phan Xích Long, P. 7, Quận Phú Nhuận, TP. HCM",07:00 - 22:00,50.000 - 220.000,7.1,7.4,7.1,6.7,7.0,7.2,https://www.foody.vn/ho-chi-minh/texas-chicken-phan-xich-long
ROU Vegetarian Restaurant - Quán Chay - Trần Hưng Đạo,"567A Trần Hưng Đạo, P. Cầu Kho, Quận 1, TP. HCM",09:00 - 14:00 | 16:00 - 22:00,20.000 - 72.000,6.7,6.9,6.3,6.5,6.7,7.1,https://www.foody.vn/ho-chi-minh/rou-vegetarian-restaurant
Nao Ăn Uống Ngay Nào - Nguyễn Đình Khơi,"42/16 Nguyễn Đình Khơi, Quận Tân Bình, TP. HCM",11:00 - 22:00,15.000 - 30.000,7.3,7.5,7.4,7.9,6.5,7.1,https://www.foody.vn/ho-chi-minh/nao-an-uong-ngay-nao-tan-binh
Texas Chicken - Nguyễn Văn Cừ,"217B Nguyễn Văn Cừ, Quận 5, TP. HCM",10:00 - 21:30,20.000 - 275.000,7.0,7.3,6.9,6.6,7.2,7.3,https://www.foody.vn/ho-chi-minh/texas-chicken-nguyen-van-cu
ROU Vegetarian Restaurant - Quán Chay - Huỳnh Mẫn Đạt,"117 Huỳnh Mẫn Đạt, P. 7, Quận 5, TP. HCM",08:00 - 22:00,25.000 - 150.000,6.9,7.5,6.4,6.4,6.7,7.4,https://www.foody.vn/ho-chi-minh/rou-nha-hang-chay
Nao Ăn Uống Ngay Nào - Đường Số 3A,"G16 Đường Số 3A, P. Tân Hưng, Quận 7, TP. HCM",15:30 - 22:00,20.000 - 40.000,7.5,8.8,6.8,8.2,6.2,7.4,https://www.foody.vn/ho-chi-minh/nao-an-uong-ngay-nao-duong-so-3a
Texas Chicken - Nguyễn Thái Học,"115 Nguyễn Thái Học , Quận 1, TP. HCM",10:00 - 22:00,30.000 - 300.000,7.0,7.3,6.9,6.6,7.1,7.4,https://www.foody.vn/ho-chi-minh/texas-chicken-nguyen-thai-hoc
Nao Ăn Uống Ngay Nào - Nguyễn Gia Trí,"29/12 Nguyễn Gia Trí, P. 25, Quận Bình Thạnh, TP. HCM",10:00 - 21:00,16.000 - 368.000,6.7,7.0,6.9,6.7,6.4,6.3,https://www.foody.vn/ho-chi-minh/nao-an-uong-ngay-nao-nguyen-gia-tri
Texas Chicken - Hậu Giang,"176C-176D Hậu Giang, P. 6, Quận 6, TP. HCM",10:00 - 21:30,50.000 - 220.000,6.5,6.5,6.4,6.2,6.6,7.0,https://www.foody.vn/ho-chi-minh/texas-chicken-hau-giang
Riverside Cafe Buffet - Renaissance Riverside Hotel,"Renaissance Riverside Hotel, 8 - 15 Tôn Đức Thắng, Quận 1, TP. HCM",11:00 - 14:30 | 18:00 - 22:00,500.000 - 1.100.000,7.6,7.7,6.9,7.7,8.0,7.9,https://www.foody.vn/ho-chi-minh/riverside-cafe-buffet-renaissance-riverside
Xúc Xích Đức Anh Ba Tây - Dương Bá Trạc,"174 Dương Bá Trạc, P. 2, Quận 8, TP. HCM",06:00 - 09:00 | 15:00 - 21:00,25.000 - 190.000,7.7,8.3,7.8,8.1,6.8,7.5,https://www.foody.vn/ho-chi-minh/xuc-xich-duc-via-he-duong-ba-trac
Kabin Restaurant - Renaissance Riverside Hotel,"Renaissance Riverside Hotel, 8 - 15 Tôn Đức Thắng, Quận 1, TP. HCM",10:00 - 23:00,300.000 - 550.000,7.4,7.6,6.5,7.2,7.7,8.0,https://www.foody.vn/ho-chi-minh/kabin-restaurant
Xúc Xích Đức Anh Ba Tây - Tôn Thất Thuyết,"183F/24/9 Tôn Thất Thuyết, P. 4, Quận 4, TP. HCM",06:00 - 22:00,25.000 - 190.000,7.8,7.4,7.9,7.6,7.6,8.5,https://www.foody.vn/ho-chi-minh/xuc-xich-duc-anh-ba-tay-ton-that-thuyet
Lobby Lounge - Renaissance Riverside Hotel,"Tầng Trệt, Renaissance Riverside Hotel, 8 - 15 Tôn Đức Thắng, Quận 1, TP. HCM",07:00 - 22:00,80.000 - 300.000,8.1,8.3,7.3,8.3,7.7,8.7,https://www.foody.vn/ho-chi-minh/lobby-lounge-renaissance-riverside-hotel
Texas Chicken - Quang Trung,"578 Quang Trung, P.11, Quận Gò Vấp, TP. HCM",10:00 - 21:30,50.000 - 220.000,7.0,7.1,7.0,6.5,7.1,7.4,https://www.foody.vn/ho-chi-minh/texas-chicken-quang-trung
Atrium Lounge - Renaissance Riverside Hotel,"Renaissance Riverside Hotel, 8 - 15 Tôn Đức Thắng, Quận 1, TP. HCM",08:00 - 23:00,100.000 - 500.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/atrium-lounge-renaissance-riverside-hotel
Xúc Xích Đức Anh Ba Tây - Nguyễn Tri Phương,"372 Nguyễn Tri Phương, P. 4, Quận 10, TP. HCM",06:00 - 22:00,25.000 - 190.000,8.2,8.3,7.8,8.5,8.0,8.5,https://www.foody.vn/ho-chi-minh/xuc-xich-duc-anh-ba-tay-nguyen-tri-phuong
Liquid Sky Bar - Renaissance Riverside Hotel,"Renaissance Riverside Hotel, 8 - 15 Tôn Đức Thắng, Quận 1, TP. HCM",17:00 - 00:00,300.000 - 1.000.000,7.2,6.0,7.0,8.0,7.0,8.0,https://www.foody.vn/ho-chi-minh/liquid-sky-bar-renaissance-riverside-hotel
Lobby Lounge - Sheraton Saigon Hotel & Towers,"Sheraton Saigon Hotel & Towers, 88 Đồng Khởi, P. Bến Nghé, Quận 1, TP. HCM",08:00 - 23:30,90.000 - 320.000,7.9,7.7,7.2,7.9,8.4,8.4,https://www.foody.vn/ho-chi-minh/lobby-lounge-sheraton-saigon-hotel-towers
Texas Chicken - Sư Vạn Hạnh,"463 Sư Vạn Hạnh, Quận 10, TP. HCM",10:00 - 21:30,20.000 - 295.000,6.6,6.8,6.7,5.8,6.7,7.0,https://www.foody.vn/ho-chi-minh/texas-chicken-su-van-hanh
Li Bai Restaurant - Sheraton Saigon Hotel & Towers,"Level 2, Sheraton Saigon Hotel & Towers, 88 Đồng Khởi, P. Bến Nghé, Quận 1, TP. HCM",11:00 - 14:30 | 18:00 - 22:00,500.000 - 1.000.000,7.7,8.4,6.7,7.4,7.9,8.2,https://www.foody.vn/ho-chi-minh/libai-restaurant-sheraton-saigon-hotel-towers
Sheraton Saigon Hotel & Towers,"88 Đồng Khởi, P. Bến Nghé, Quận 1, TP. HCM",Đang mở cửa  Cả ngày,500.000 - 5.500.000,8.0,8.2,6.7,8.2,8.5,8.2,https://www.foody.vn/ho-chi-minh/sheraton-saigon-hotel-towers
Bánh Cuốn Tây Sơn - Phạm Văn Đồng,"132 Phạm Văn Đồng, P. 3, Quận Gò Vấp, TP. HCM",07:00 - 22:30,25.000 - 150.000,6.5,6.7,6.5,6.3,6.4,6.7,https://www.foody.vn/ho-chi-minh/banh-cuon-tay-son-pham-van-dong
Saigon Cafe - Sheraton Saigon Hotel & Towers,"Tầng 1 Sheraton Saigon Hotel & Towers, 88 Đồng Khởi, P. Bến Nghé, Quận 1, TP. HCM",12:00 - 14:30 | 18:00 - 22:00,800.000 - 1.700.000,7.9,8.0,7.0,8.0,8.3,8.3,https://www.foody.vn/ho-chi-minh/saigon-cafe-sheraton-saigon-hotel-towers
Texas Chicken - Vincom Mega Mall Thảo Điền,"Tầng 5,  Tầng 5, Vincom Mega Mall Thảo Điền, 159 Xa Lộ Hà Nội, P. Thảo Điền, Tp. Thủ Đức, TP. HCM",10:00 - 21:30,50.000 - 250.000,7.0,7.3,7.1,6.3,7.2,7.0,https://www.foody.vn/ho-chi-minh/texas-chicken-vincom-mega-mall-thao-dien
Bánh Cuốn Tây Sơn - Trương Công Định,"44 Trương Công Định, P. 14, Quận Tân Bình, TP. HCM",07:00 - 22:30,25.000 - 150.000,8.5,8.8,8.3,8.6,8.3,8.6,https://www.foody.vn/ho-chi-minh/banh-cuon-tay-son-truong-cong-dinh
Buddha Chay - Đặng Tất,"31 Đặng Tất, P. Tân Định, Quận 1, TP. HCM",10:00 - 22:00,25.000 - 250.000,6.9,7.1,6.9,6.6,6.9,6.9,https://www.foody.vn/ho-chi-minh/buddha-chay
Texas Chicken - Aeon Mall Bình Tân,"Tầng 3,  Tầng 3, Aeon Mall Bình Tân, 1 Đường Số 17A, P. Bình Trị Đông B, Quận Bình Tân, TP. HCM",10:00 - 21:30,50.000 - 250.000,6.2,6.1,6.3,6.0,6.3,6.5,https://www.foody.vn/ho-chi-minh/texas-chicken-aeon-mall-binh-tan
Bánh Cuốn Tây Sơn - Lê Văn Thọ,"373 Lê Văn Thọ, P. 9, Quận Gò Vấp, TP. HCM",07:30 - 22:30,3.000 - 180.000,8.7,8.8,8.8,8.5,8.5,9.1,https://www.foody.vn/ho-chi-minh/banh-cuon-tay-son-le-van-tho
Bánh Cuốn Tây Sơn - Nguyễn Văn Thương,"37 Nguyễn Văn Thương, P. 25, Quận Bình Thạnh, TP. HCM",07:30 - 22:30,25.000 - 150.000,9.0,9.1,8.8,8.8,9.1,9.2,https://www.foody.vn/ho-chi-minh/banh-cuon-tay-son-nguyen-van-thuong
Texas Chicken - Hoàng Văn Thụ,"392 - 394 Hoàng Văn Thụ, Quận Tân Bình, TP. HCM",10:00 - 21:30,40.000 - 200.000,6.0,6.2,6.2,5.5,6.0,6.2,https://www.foody.vn/ho-chi-minh/texas-chicken-hoang-van-thu
Buddha Chay - Nguyễn Chí Thanh,"5 Nguyễn Chí Thanh, P. 9, Quận 5, TP. HCM",10:00 - 21:00,25.000 - 250.000,,5.7,5.4,5.4,5.6,5.8,https://www.foody.vn/ho-chi-minh/buddha-chay-2
Ritaki - Khoai Lang Mật - Huỳnh Văn Bánh,"420/11 Huỳnh Văn Bánh, P. 14, Quận Phú Nhuận, TP. HCM",06:00 - 21:00,15.000 - 60.000,9.4,9.6,9.3,9.6,9.2,9.4,https://www.foody.vn/ho-chi-minh/ritaki-khoai-lang-mat-huynh-van-banh
Texas Chicken - Võ Văn Ngân,"354 Võ Văn Ngân, KP. 3, P. Bình Thọ, Tp. Thủ Đức, TP. HCM",11:00 - 21:00,50.000 - 220.000,6.1,6.2,6.1,5.4,6.3,6.5,https://www.foody.vn/ho-chi-minh/texas-chicken-vo-van-ngan
Ritaki - Khoai Lang Mật - Nguyễn Công Trứ,"114 Nguyễn Công Trứ, P. 19, Quận Bình Thạnh, TP. HCM",09:00 - 20:00,15.000 - 60.000,9.9,9.9,9.9,9.9,9.8,9.9,https://www.foody.vn/ho-chi-minh/ritaki-khoai-lang-mat-nguyen-cong-tru
Basilico - Italian Trattoria - InterContinental Residences Saigon,"Tầng Trệt, InterContinental Residences Saigon, Góc Đường Nguyễn Du & Lê Văn Hưu, P. Bến Nghé, Quận 1, TP. HCM",06:30 - 22:30,75.000 - 430.000,8.0,7.8,7.2,8.1,8.5,8.4,https://www.foody.vn/ho-chi-minh/basilico-italian-trattoria-intercontinental-asiana-saigon
Ritaki - Khoai Lang Mật - Khai Trí,"10 Khai Trí, P. 6, Quận Tân Bình, TP. HCM",10:00 - 20:00,15.000 - 60.000,9.7,9.7,9.7,9.7,9.6,9.7,https://www.foody.vn/ho-chi-minh/ritaki-khoai-lang-mat-khai-tri
Texas Chicken - Nguyễn Gia Trí,"203 Nguyễn Gia Trí (Đường D2), P. 25, Quận Bình Thạnh, TP. HCM",10:00 - 21:30,38.000 - 275.000,6.0,6.3,6.1,5.1,6.1,6.5,https://www.foody.vn/ho-chi-minh/texas-chicken-duong-d2
Vina Chuối - Cô Bắc,"286 Cô Bắc, P. Cô Giang, Quận 1, TP. HCM",08:30 - 19:00,8.000 - 8.000,7.6,7.9,7.9,7.6,6.9,7.5,https://www.foody.vn/ho-chi-minh/vina-chuoi-co-bac
Yu Chu - Cantonese & Peking - InterContinental Saigon,"Tầng 1,  InterContinental Saigon, Góc Đường Hai Bà Trưng & Lê Duẩn, P. Bến Nghé, Quận 1, TP. HCM",11:30 - 14:30 | 18:00 - 22:00,80.000 - 698.000,7.7,7.8,6.8,7.8,8.2,8.0,https://www.foody.vn/ho-chi-minh/yu-chu-cantonese-peking-intercontinental-saigon
Vina Chuối - Huỳnh Thúc Kháng,"25 Huỳnh Thúc Kháng, P. Bến Nghé, Quận 1, TP. HCM",09:00 - 20:00,8.000 - 8.000,7.2,7.5,7.3,7.1,6.5,7.5,https://www.foody.vn/ho-chi-minh/vina-chuoi-huynh-thuc-khang
Vina Chuối - Lotte Mart Nam Sài Gòn,"Tầng Trệt,  Tầng Trệt Lotte Mart Nam Sài Gòn, 469 Nguyễn Hữu Thọ, P. Tân Hưng, Quận 7, TP. HCM",08:30 - 19:00,20.000 - 180.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/vina-chuoi-lotte-mart-nam-sai-gon
Topping Beef - Steakhouse - Lê Ngô Cát,"16L Lê Ngô Cát, P. Võ Thị Sáu, Quận 3, TP. HCM",10:30 - 20:30,100.000 - 300.000,7.7,8.1,7.4,7.8,7.6,7.5,https://www.foody.vn/ho-chi-minh/topping-beef-steakhouse-le-ngo-cat
Market 39 Restaurant - Buffet & A La Carte - InterContinental Saigon,"Tầng Trệt, InterContinental Saigon, Góc Đường Hai Bà Trưng & Lê Duẩn, P. Bến Nghé, Quận 1, TP. HCM",18:00 - 22:00,330.000 - 2.000.000,7.4,7.1,6.4,7.7,8.0,7.9,https://www.foody.vn/ho-chi-minh/market-39-restaurant
Vina Chuối - Bạch Vân,"1 Bạch Vân, P. 5, Quận 5, TP. HCM",08:20 - 20:00,8.000 - 8.000,6.4,7.0,6.0,7.0,6.0,6.0,https://www.foody.vn/ho-chi-minh/vina-chuoi-bach-van
Topping Beef - Steakhouse - Mạc Đĩnh Chi,"32 Mạc Đĩnh Chi, Quận 1, TP. HCM",10:00 - 22:00,40.000 - 120.000,7.1,7.0,7.1,6.4,7.5,7.6,https://www.foody.vn/ho-chi-minh/topping-beef
Vina Chuối - Chu Văn An,"396 Chu Văn An, P. 12, Quận Bình Thạnh, TP. HCM",08:45 - 19:30,10.000 - 100.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/vina-chuoi-chu-van-an
InterContinental Saigon Hotel & Residences,"Góc Đường Hai Bà Trưng & Lê Duẩn, P. Bến Nghé, Quận 1, TP. HCM",Đang mở cửa  Cả ngày,4.000.000 - 10.000.000,8.5,8.8,7.5,8.5,8.9,8.6,https://www.foody.vn/ho-chi-minh/intercontinental-saigon-hotel-residences
Vina Chuối - Xô Viết Nghệ Tĩnh,"47 Xô Viết Nghệ Tĩnh, P. 17, Quận Bình Thạnh, TP. HCM",09:00 - 19:00,10.000 - 200.000,10.0,10.0,10.0,10.0,10.0,10.0,https://www.foody.vn/ho-chi-minh/vina-chuoi-xo-viet-nghe-tinh
Vina Chuối - Hai Bà Trưng,"135 Hai Bà Trưng, P. Bến Nghé, Quận 1, TP. HCM",08:45 - 19:30,10.000 - 200.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/vina-chuoi-hai-ba-trung
Topping Beef - Nguyễn Thị Minh Khai,"106 Nguyễn Thị Minh Khai, P. 6, Quận 3, TP. HCM",11:00 - 23:00,100.000 - 300.000,6.8,7.0,6.8,6.3,7.2,6.7,https://www.foody.vn/ho-chi-minh/topping-beef-nguyen-thi-minh-khai
Quán Bụi - Authentic Vietnamese Cuisine,"19 Ngô Văn Năm, P. Bến Nghé, Quận 1, TP. HCM",10:00 - 22:00,150.000 - 550.000,7.2,7.4,6.3,7.0,7.7,7.6,https://www.foody.vn/ho-chi-minh/quan-bui-authentic-vietnamese-cuisine
Fruit Crush - Trái Cây Tươi & Ăn Vặt - Nguyễn Thị Minh Khai,"25/5 Nguyễn Thị Minh Khai, P. Bến Nghé, Quận 1, TP. HCM",10:00 - 21:00,19.000 - 79.000,8.0,8.2,8.1,8.2,7.4,8.4,https://www.foody.vn/ho-chi-minh/fruit-crush-trai-cay-tuoi-an-vat-nguyen-thi-minh-khai
"Fruit Crush - Trái Cây Tươi, Bánh Tráng & Ăn Vặt","93/4 Đường 100 Bình Thới, Quận 11, TP. HCM",10:00 - 21:00,20.000 - 50.000,8.5,8.7,8.8,8.9,8.0,8.1,https://www.foody.vn/ho-chi-minh/fruit-crush-trai-cay-tuoi-banh-trang-an-vat
Pizza Hut - Trương Định,"61 Trương Định, Quận 3, TP. HCM",10:00 - 22:00,150.000 - 330.000,7.1,7.1,6.8,7.0,7.3,7.5,https://www.foody.vn/ho-chi-minh/pizza-hut-truong-dinh
Quán Bụi Garden,"55A - 55B Ngô Quang Huy, P. Thảo Điền, Tp. Thủ Đức, TP. HCM",10:00 - 22:00,50.000 - 250.000,7.5,7.2,6.6,7.7,8.2,7.7,https://www.foody.vn/ho-chi-minh/quan-bui-garden
Fruit Crush - Trái Cây Tươi & Ăn Vặt - Lê Đức Thọ,"616/3 Lê Đức Thọ, P. 15, Quận Gò Vấp, TP. HCM",10:00 - 22:30,19.000 - 79.000,9.1,10.0,9.0,9.3,8.3,8.8,https://www.foody.vn/ho-chi-minh/fruit-crush-trai-cay-tuoi-an-vat-le-duc-tho
Quán Bụi Central,"19 Ngô Văn Năm, Quận 1, TP. HCM",10:00 - 22:00,30.000 - 200.000,7.4,7.6,6.3,7.8,7.2,7.9,https://www.foody.vn/ho-chi-minh/quan-bui-central
Fruit Crush - Trái Cây Tươi & Ăn Vặt - Nguyễn Cửu Vân,"75/35 Nguyễn Cửu Vân, P. 17, Quận Bình Thạnh, TP. HCM",10:00 - 23:00,19.000 - 79.000,7.4,6.7,7.0,8.3,7.7,7.3,https://www.foody.vn/ho-chi-minh/fruit-crush-trai-cay-tuoi-an-vat-nguyen-cuu-van
Fruit Crush - Trái Cây Tươi & Ăn Vặt - Đường Số 10,"9 Đường Số 10, P. Bình An, Tp. Thủ Đức, TP. HCM",Đang cập nhật,15.000 - 45.000,8.5,8.7,8.5,8.7,8.1,8.5,https://www.foody.vn/ho-chi-minh/fruit-crush-trai-cay-tuoi-an-vat-duong-so-10
Quán Bụi Kitchen - Estella Place,"Tầng 2,  L2 - 02, 03 Tầng 2, Estella Place, 88 Song Hành, P. An Phú, Tp. Thủ Đức, TP. HCM",07:00 - 21:30,15.000 - 250.000,8.9,9.0,8.6,9.0,9.0,9.0,https://www.foody.vn/ho-chi-minh/quan-bui-kitchen-estella-place
Pizza Hut - Phan Xích Long,"93 Phan Xich Long, P. 2, Quận Phú Nhuận, TP. HCM",10:00 - 21:30,150.000 - 330.000,7.0,7.3,6.6,6.9,6.9,7.5,https://www.foody.vn/ho-chi-minh/pizza-hut-phan-xich-long
Quán Bụi - Laang Saigon,"22 Đặng Hữu Phổ, P. Thảo Điền, Tp. Thủ Đức, TP. HCM",09:00 - 22:00,20.000 - 399.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/quan-bui-laang-saigon
Fruit Crush - Trái Cây Tươi & Ăn Vặt - Trần Xuân Soạn,"793/35A1 Trần Xuân Soạn, P. Tân Hưng, Quận 7, TP. HCM",11:00 - 22:00,19.000 - 119.000,10.0,10.0,10.0,10.0,10.0,10.0,https://www.foody.vn/ho-chi-minh/fruit-crush-trai-cay-tuoi-an-vat-tran-xuan-soan
Pizza Hut - Crescent Mall,"Tầng 5,  Tầng 5 Crescent Mall, 101 Tôn Dật Tiên, P. Tân Phú, Quận 7, TP. HCM",07:00 - 23:00,200.000 - 330.000,7.1,7.2,6.6,7.1,7.3,7.4,https://www.foody.vn/ho-chi-minh/pizza-hut-crescent-mall-ton-dat-tien
Fruit Crush - Trái Cây Tươi & Ăn Vặt - Thích Quảng Đức,"35 Thích Quảng Đức, P. 4, Quận Phú Nhuận, TP. HCM",09:00 - 22:00,20.000 - 50.000,10.0,10.0,10.0,10.0,10.0,10.0,https://www.foody.vn/ho-chi-minh/fruit-crush-trai-cay-tuoi-an-vat-thich-quang-duc
Fruit Crush - Trái Cây Tươi & Ăn Vặt - Đường 5,"41 Đường 5, P. Linh Chiểu, Tp. Thủ Đức, TP. HCM",10:00 - 22:00,19.000 - 49.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/fruit-crush-trai-cay-tuoi-an-vat-duong-5
Pizza Hut - Vincom Maximark Cộng Hoà,"Vincom Maximark Cộng Hoà, 15 – 17 Cộng Hòa, Quận Tân Bình, TP. HCM",10:00 - 22:00,200.000 - 330.000,7.3,7.2,6.7,7.4,7.6,7.3,https://www.foody.vn/ho-chi-minh/pizza-hut-maximark-cong-hoa
Fruit Crush - Trái Cây Tươi & Ăn Vặt - Lê Hồng Phong,"181/6 Lê Hồng Phong, P. 3, Quận 5, TP. HCM",10:00 - 23:00,10.000 - 55.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/fruit-crush-trai-cay-tuoi-an-vat-le-hong-phong
Spicy Box - Tokbokki Hot Pot - Vincom Mega Mall Thảo Điền,"Tầng 4,  Tầng 4 Vincom Mega Mall Thảo Điền, 159 Xa Lộ Hà Nội, P. Thảo Điền, Quận 2, TP. HCM",09:00 - 22:00,79.000 - 220.000,7.9,8.1,8.0,8.0,8.0,7.5,https://www.foody.vn/ho-chi-minh/spicy-box-tokbokki-hot-pot
MNS ICE SNOW - Đá Bào Mật Trái Cây Rừng - Quang Trung,"69D Quang Trung, P. 8, Quận Gò Vấp, TP. HCM",17:30 - 22:30,10.000 - 15.000,7.7,8.6,8.3,8.0,6.6,6.9,https://www.foody.vn/ho-chi-minh/da-bao-mat-trai-cay-quang-trung
MNS ICE SNOW - Đá Bào Mật Trái Cây Rừng - Phạm Văn Đồng,"Phạm Văn Đồng, P. 13, Quận Bình Thạnh, TP. HCM",19:00 - 23:30,15.000 - 35.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/mns-ice-snow-da-bao-mat-trai-cay-rung-pham-van-dong
MNS ICE SNOW - Đá Bào Mật Trái Cây Rừng - Quang Trung,"653 Quang Trung, P. 11, Quận Gò Vấp, TP. HCM",09:00 - 22:00,12.000 - 15.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/da-bao-mat-trai-cay-rung-quang-trung
Pizza Hut - Nguyễn Trãi,"264-266 Nguyễn Trãi, Quận 5, TP. HCM",10:00 - 21:30,150.000 - 330.000,7.3,7.5,6.9,7.1,7.3,7.6,https://www.foody.vn/ho-chi-minh/pizza-hut-nguyen-trai
MNS ICE SNOW - Đá Bào Mật Trái Cây Rừng - Nguyễn Thị Thập,"347 Nguyễn Thị Thập, Quận 7, TP. HCM",18:00 - 22:00,15.000 - 45.000,7.9,8.3,8.5,7.8,7.0,7.8,https://www.foody.vn/ho-chi-minh/mns-ice-snow-da-bao-mat-trai-cay-rung-nguyen-thi-thap
Pizza Hut - Parkson CT Plaza,"Tầng Hầm 1,  Tầng Hầm B1 Parkson CT Plaza, 60A Trường Sơn, P. 2, Quận Tân Bình, TP. HCM",08:30 - 21:30,200.000 - 330.000,7.3,7.6,6.8,7.6,7.3,7.1,https://www.foody.vn/ho-chi-minh/pizza-hut-food-court-parkson-ct-plaza
Spicy Box - Tokbokki Hot Pot - Estella Place,"Tầng 4,  L4-08, Tầng 4 Estella Place, 88 Song Hành, P. An Phú, Quận 2, TP. HCM",09:00 - 22:00,79.000 - 220.000,7.9,8.3,7.8,8.1,7.8,7.7,https://www.foody.vn/ho-chi-minh/spicy-box-tokbokki-hot-pot-song-hanh
Takki - Bánh Mì Kebab - Kỳ Đồng,"7 Kỳ Đồng, P. 9, Quận 3, TP. HCM",06:00 - 10:00 | 14:00 - 19:00,20.000 - 25.000,8.8,9.4,9.0,8.9,8.3,8.5,https://www.foody.vn/ho-chi-minh/takki-banh-mi-kebab-ky-dong
Pizza Hut - Vincom Maximark 3 Tháng 2,"Tầng 3,  Tầng 3, Vincom Maximark, 3 Đường 3 Tháng 2, Quận 10, TP. HCM",10:00 - 22:30,150.000 - 330.000,7.3,7.2,6.9,7.4,7.6,7.3,https://www.foody.vn/ho-chi-minh/pizza-hut-maximark-3-thang-2
Akki - Bánh Mì Kebab - 152 Tân Kỳ Tân Quý,"152 Tân Kỳ Tân Quý, P. Sơn Kỳ, Quận Tân Phú, TP. HCM",06:00 - 11:00 | 15:00 - 20:00,20.000 - 25.000,8.9,9.6,9.4,9.3,8.1,8.2,https://www.foody.vn/ho-chi-minh/akki-banh-mi-kebab-152-tan-ky-tan-quy
Takki - Bánh Mì Kebab - Lê Quang Định,"469 Lê Quang Định, P. 1, Quận Gò Vấp, TP. HCM",06:00 - 13:00,15.000 - 60.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/takki-banh-mi-kebab-le-quang-dinh
Pizza Hut - Etown Cộng Hoà,"364 Cộng Hòa, Quận Tân Bình, TP. HCM",10:00 - 20:30,200.000 - 330.000,,6.1,5.9,5.8,6.1,5.9,https://www.foody.vn/ho-chi-minh/pizza-hut-etown-cong-hoa
Takki - Bánh Mì Kebab - Tôn Thất Thiệp,"4-6 Tôn Thất Thiệp, P. Bến Nghé, Quận 1, TP. HCM",06:00 - 22:00,30.000 - 35.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/takki-banh-mi-kebab-ton-that-thiep
Spicy Box - Tokbokki Hot Pot - Giga Mall,"Tầng 5,  L5-22, Tầng 5, Giga Mall, 242 Phạm Văn Đồng, P. Hiệp Bình Chánh, Tp. Thủ Đức, TP. HCM",09:00 - 22:00,79.000 - 220.000,,4.9,5.4,4.7,5.3,6.0,https://www.foody.vn/ho-chi-minh/spicy-box-tokbokki-hot-pot-giga-mall
Mr. Tôm - Sushi Đường Phố - Lê Văn Thọ,"364 Lê Văn Thọ, P. 11, Quận Gò Vấp, TP. HCM",17:00 - 23:00,8.000 - 129.000,6.4,6.9,7.3,5.8,5.6,6.7,https://www.foody.vn/ho-chi-minh/mr-tom-sushi-duong-pho-le-van-tho
Pizza Hut - Lotte Mart Nam Sài Gòn,"Tầng Trệt Lotte Mart Nguyễn Hữu Thọ, 469 Nguyễn Hữu Thọ, P. Tân Hưng, Quận 7, TP. HCM",10:00 - 21:30,10.000 - 330.000,7.3,7.4,6.8,7.4,7.6,7.5,https://www.foody.vn/ho-chi-minh/pizza-hut-lotte-mart-nam-sai-gon
Mr. Tôm - Sushi Đường Phố - Nguyễn Văn Lượng,"354 Nguyễn Văn Lượng, P. 16, Quận Gò Vấp, TP. HCM",17:00 - 23:00,8.000 - 130.000,,4.3,4.7,2.3,3.8,4.7,https://www.foody.vn/ho-chi-minh/sushi-duong-pho-sake-kissho-nguyen-van-luong
Pizza Hut - Trần Hưng Đạo,"38A Trần Hưng Đạo, P. Phạm Ngũ Lão, Quận 1, TP. HCM",10:00 - 22:00,59.000 - 164.000,6.6,6.4,6.4,6.4,6.4,7.3,https://www.foody.vn/ho-chi-minh/pizza-hut-tran-hung-dao
Mr. Tôm - Sushi Đường Phố - Man Thiện,"435 Man Thiện, P. Tăng Nhơn Phú A, Tp. Thủ Đức, TP. HCM",10:00 - 22:00,8.000 - 129.000,7.1,7.0,7.4,7.2,7.0,7.1,https://www.foody.vn/ho-chi-minh/mr-tom-sushi-duong-pho-bo-bao-tan-thang
Mr. Tôm - Sushi Đường Phố - Lê Thị Hồng,"40/64 Lê Thị Hồng, P. 17, Quận Gò Vấp, TP. HCM",16:00 - 23:00,8.000 - 149.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/mr-tom-sushi-duong-pho-le-thi-hong
Pizza Hut - Pandora City,"Tầng 4 Pandora City, 1/1 Trường Chinh, P. Tây Thạnh, Quận Tân Phú, TP. HCM",10:30 - 23:00,120.000 - 330.000,7.3,7.5,6.6,7.2,7.6,7.5,https://www.foody.vn/ho-chi-minh/pizza-hut-pandora-city
